"time", "users", "average response time", "queries Per Second", "label", "queries", "rows read", "updates", "deletes", "inserts", "interval"
1, 3, 0, 0, "Jul 29, 2013 4:00:48 PM", 0, 0, 0, 0, 0, 1
2, 3, 2, 229, "Jul 29, 2013 4:00:50 PM", 229, 51663, 12, 10, 12, 1
3, 3, 2, 222, "Jul 29, 2013 4:00:52 PM", 222, 61573, 17, 16, 15, 1
4, 3, 2, 231, "Jul 29, 2013 4:00:54 PM", 231, 69485, 15, 13, 20, 1
5, 3, 2, 239, "Jul 29, 2013 4:00:56 PM", 239, 69591, 11, 11, 9, 1
6, 3, 2, 213, "Jul 29, 2013 4:00:58 PM", 213, 62767, 15, 13, 11, 1
7, 3, 0, 0, "Jul 29, 2013 4:01:00 PM", 0, 0, 0, 0, 0, 1
8, 3, 0, 0, "Jul 29, 2013 4:01:02 PM", 0, 0, 0, 0, 0, 1
9, 3, 2, 229, "Jul 29, 2013 4:01:04 PM", 229, 66004, 11, 18, 18, 1
10, 3, 2, 222, "Jul 29, 2013 4:01:06 PM", 222, 61832, 10, 14, 24, 1
11, 3, 2, 201, "Jul 29, 2013 4:01:08 PM", 201, 56845, 12, 7, 14, 1
12, 3, 0, 0, "Jul 29, 2013 4:01:10 PM", 0, 0, 0, 0, 0, 1
13, 3, 0, 0, "Jul 29, 2013 4:01:12 PM", 0, 0, 0, 0, 0, 1
14, 3, 2, 205, "Jul 29, 2013 4:01:14 PM", 205, 60443, 16, 14, 10, 1
15, 3, 2, 233, "Jul 29, 2013 4:01:16 PM", 233, 66518, 17, 18, 11, 1
16, 6, 2, 228, "Jul 29, 2013 4:01:18 PM", 228, 65933, 13, 17, 10, 1
17, 6, 2, 241, "Jul 29, 2013 4:01:20 PM", 241, 69592, 9, 16, 13, 1
18, 6, 2, 242, "Jul 29, 2013 4:01:22 PM", 242, 66154, 10, 18, 20, 1
19, 6, 4, 334, "Jul 29, 2013 4:01:24 PM", 334, 174333, 10, 13, 9, 1
20, 6, 3, 400, "Jul 29, 2013 4:01:26 PM", 400, 170021, 32, 34, 36, 1
21, 6, 3, 282, "Jul 29, 2013 4:01:28 PM", 282, 118654, 21, 21, 24, 1
22, 6, 0, 0, "Jul 29, 2013 4:01:30 PM", 0, 0, 0, 0, 0, 1
23, 6, 0, 0, "Jul 29, 2013 4:01:32 PM", 0, 0, 0, 0, 0, 1
24, 6, 2, 418, "Jul 29, 2013 4:01:34 PM", 418, 115576, 25, 36, 31, 1
25, 6, 2, 435, "Jul 29, 2013 4:01:36 PM", 435, 118781, 26, 34, 29, 1
26, 6, 2, 278, "Jul 29, 2013 4:01:38 PM", 278, 73801, 17, 22, 20, 1
27, 6, 0, 0, "Jul 29, 2013 4:01:40 PM", 0, 0, 0, 0, 0, 1
28, 6, 0, 0, "Jul 29, 2013 4:01:42 PM", 0, 0, 0, 0, 0, 1
29, 6, 2, 410, "Jul 29, 2013 4:01:44 PM", 410, 121520, 24, 22, 28, 1
30, 6, 2, 439, "Jul 29, 2013 4:01:46 PM", 439, 116103, 28, 17, 29, 1
31, 8, 2, 346, "Jul 29, 2013 4:01:48 PM", 346, 70571, 30, 31, 18, 1
32, 8, 1, 187, "Jul 29, 2013 4:01:51 PM", 187, 0, 21, 20, 13, 1
33, 8, 1, 154, "Jul 29, 2013 4:01:53 PM", 154, 0, 15, 17, 12, 1
34, 8, 4, 493, "Jul 29, 2013 4:01:55 PM", 493, 195425, 36, 42, 52, 1
35, 8, 4, 492, "Jul 29, 2013 4:01:57 PM", 492, 188295, 41, 45, 36, 1
36, 8, 4, 256, "Jul 29, 2013 4:01:59 PM", 256, 112190, 15, 22, 18, 1
37, 8, 0, 0, "Jul 29, 2013 4:02:01 PM", 0, 0, 0, 0, 0, 1
38, 8, 0, 0, "Jul 29, 2013 4:02:03 PM", 0, 0, 0, 0, 0, 1
39, 8, 2, 385, "Jul 29, 2013 4:02:05 PM", 385, 65519, 23, 32, 31, 1
